Sr.No,Class Name,Line Coverage,Branch Coverage,Branch Missed,Branch Missed+Covered,BranchCoveragePercentageDecimal,BranchCoveragePercentage
39,AbstractBagDecorator,8,4,0,4,1,100
126,AbstractBidiMapDecorator,5,0,0,0,0,0
51,AbstractBitwiseTrie,24,15,5,20,0.75,75
9,AbstractCollectionDecorator,23,2,0,2,1,100
117,AbstractDualBidiMap,64,18,0,18,1,100
228,AbstractEmptyIterator,12,0,0,0,0,0
138,AbstractHashedMap,269,125,11,136,0.9191176,91.911766
140,AbstractInputCheckedMapDecorator,7,2,0,2,1,100
8,AbstractIterableGetMapDecorator,18,2,2,4,0.5,50
157,AbstractIterableMap,2,0,0,0,0,0
206,AbstractIteratorDecorator,3,0,0,0,0,0
3,AbstractKeyValue,17,0,0,0,0,0
57,AbstractLinkedList,190,91,9,100,0.91,91
158,AbstractLinkedMap,72,40,0,40,1,100
59,AbstractListDecorator,16,4,0,4,1,100
197,AbstractListIteratorDecorator,17,1,1,2,0.5,50
168,AbstractListValuedMap,8,0,0,0,0,0
33,AbstractMapBag,163,74,8,82,0.902439,90.2439
153,AbstractMapDecorator,27,4,0,4,1,100
2,AbstractMapEntry,13,19,1,20,0.95,95
6,AbstractMapEntryDecorator,11,2,2,4,0.5,50
210,AbstractMapIteratorDecorator,0,0,2,2,0,0
255,AbstractMapMultiSet,101,43,5,48,0.8958333,89.58333
257,AbstractMultiSet,33,19,27,46,0.41304347,41.304348
252,AbstractMultiSetDecorator,6,4,0,4,1,100
167,AbstractMultiValuedMap,81,43,15,58,0.7413793,74.13793
171,AbstractMultiValuedMapDecorator,26,4,0,4,1,100
177,AbstractNavigableSetDecorator,7,0,0,0,0,0
121,AbstractOrderedBidiMapDecorator,7,0,0,0,0,0
132,AbstractOrderedMapDecorator,9,0,0,0,0,0
211,AbstractOrderedMapIteratorDecorator,0,0,2,2,0,0
50,AbstractPatriciaTrie,306,196,100,296,0.6621622,66.21622
81,AbstractQuantifierPredicate,3,0,0,0,0,0
260,AbstractQueueDecorator,4,0,0,0,0,0
135,AbstractReferenceMap,106,39,9,48,0.8125,81.25
54,AbstractSerializableListDecorator,8,0,0,0,0,0
179,AbstractSerializableSetDecorator,8,0,0,0,0,0
176,AbstractSetDecorator,5,4,0,4,1,100
170,AbstractSetValuedMap,8,0,0,0,0,0
37,AbstractSortedBagDecorator,5,0,0,0,0,0
119,AbstractSortedBidiMapDecorator,3,0,0,0,0,0
161,AbstractSortedMapDecorator,8,0,4,4,0,0
184,AbstractSortedSetDecorator,6,0,0,0,0,0
199,AbstractUntypedIteratorDecorator,8,1,1,2,0.5,50
111,AllPredicate,18,12,0,12,1,100
110,AndPredicate,8,7,1,8,0.875,87.5
82,AnyPredicate,17,11,1,12,0.9166667,91.66667
227,ArrayIterator,28,10,0,10,1,100
201,ArrayListIterator,25,8,0,8,1,100
164,ArrayListValuedHashMap,16,0,2,2,0,0
245,ArrayStack,24,10,6,16,0.625,62.5
239,ArrayUtils,9,9,7,16,0.5625,56.25
233,BagUtils,11,0,0,0,0,0
19,BooleanComparator,17,13,1,14,0.9285714,92.85714
214,BoundedIterator,31,17,1,18,0.9444444,94.44444
156,CaseInsensitiveMap,19,4,0,4,1,100
85,CatchAndRethrowClosure,8,0,0,0,0,0
98,ChainedClosure,23,12,0,12,1,100
77,ChainedTransformer,19,10,0,10,1,100
262,CircularFifoQueue,86,44,4,48,0.9166667,91.66667
96,CloneTransformer,7,2,0,2,1,100
100,ClosureTransformer,8,2,0,2,1,100
238,ClosureUtils,28,4,0,4,1,100
220,CollatingIterator,87,39,9,48,0.8125,81.25
44,CollectionBag,42,21,3,24,0.875,87.5
45,CollectionSortedBag,42,21,3,24,0.875,87.5
241,CollectionUtils,337,250,20,270,0.9259259,92.59259
20,ComparableComparator,8,6,0,6,1,100
23,ComparatorChain,58,27,15,42,0.64285713,64.28571
65,ComparatorPredicate,23,17,3,20,0.85,85
235,ComparatorUtils,25,14,4,18,0.7777778,77.77778
14,CompositeCollection,83,41,1,42,0.97619045,97.61904
137,CompositeMap,86,47,3,50,0.94,94
181,CompositeSet,109,59,5,64,0.921875,92.1875
99,ConstantFactory,8,2,0,2,1,100
91,ConstantTransformer,11,3,11,14,0.21428572,21.428572
61,CursorableLinkedList,77,20,6,26,0.7692308,76.92308
152,DefaultedMap,21,7,3,10,0.7,70
97,DefaultEquator,6,6,2,8,0.75,75
5,DefaultKeyValue,24,19,5,24,0.7916667,79.16667
26,DeleteCommand,4,0,0,0,0,0
124,DualHashBidiMap,14,0,0,0,0,0
120,DualLinkedHashBidiMap,14,0,0,0,0,0
123,DualTreeBidiMap,51,10,2,12,0.8333333,83.33333
29,EditCommand,4,0,0,0,0,0
31,EditScript,19,2,0,2,1,100
198,EmptyIterator,6,0,0,0,0,0
218,EmptyListIterator,5,0,0,0,0,0
190,EmptyMapIterator,4,0,0,0,0,0
226,EmptyOrderedIterator,4,0,0,0,0,0
204,EmptyOrderedMapIterator,4,0,0,0,0,0
225,EntrySetMapIterator,0,0,10,10,0,0
142,EntrySetToMapIteratorAdapter,18,2,0,2,1,100
188,EnumerationIterator,10,0,4,4,0,0
232,EnumerationUtils,13,6,0,6,1,100
89,EqualPredicate,15,6,0,6,1,100
107,ExceptionClosure,6,0,0,0,0,0
87,ExceptionFactory,6,0,0,0,0,0
67,ExceptionPredicate,6,0,0,0,0,0
113,ExceptionTransformer,6,0,0,0,0,0
71,FactoryTransformer,7,2,0,2,1,100
246,FactoryUtils,6,0,0,0,0,0
101,FalsePredicate,6,0,0,0,0,0
193,FilterIterator,32,13,1,14,0.9285714,92.85714
219,FilterListIterator,58,30,6,36,0.8333333,83.33333
21,FixedOrderComparator,57,44,22,66,0.6666667,66.66667
56,FixedSizeList,16,0,0,0,0,0
131,FixedSizeMap,20,2,4,6,0.33333334,33.333336
148,FixedSizeSortedMap,21,2,2,4,0.5,50
149,Flat3Map,328,226,64,290,0.77931035,77.93104
236,FluentIterable,45,4,0,4,1,100
73,ForClosure,12,8,0,8,1,100
104,FunctorUtils,36,27,3,30,0.9,90
60,GrowthList,20,5,1,6,0.8333333,83.33333
47,HashBag,11,0,0,0,0,0
144,HashedMap,15,0,0,0,0,0
253,HashMultiSet,12,0,0,0,0,0
166,HashSetValuedHashMap,13,0,0,0,0,0
83,IdentityPredicate,7,4,0,4,1,100
108,IfClosure,13,5,3,8,0.625,62.5
84,IfTransformer,17,10,2,12,0.8333333,83.33333
11,IndexedCollection,55,21,1,22,0.95454544,95.454544
30,InsertCommand,4,0,0,0,0,0
80,InstanceofPredicate,6,1,1,2,0.5,50
92,InstantiateFactory,27,17,5,22,0.77272725,77.27273
