Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
22,AbstractBagDecorator,64,67,0.64,0.67
37,AbstractBidiMapDecorator,0,0,0,0
260,AbstractBitwiseTrie,15,3,0.15,0.03
48,AbstractCollectionDecorator,92,100,0.92,1
38,AbstractDualBidiMap,15,11,0.15,0.11
115,AbstractEmptyIterator,100,100,1,1
177,AbstractHashedMap,58,41,0.58,0.41
178,AbstractInputCheckedMapDecorator,76,43,0.76,0.43
258,AbstractIterableGetMapDecorator,78,71,0.78,0.71
179,AbstractIterableMap,50,0,0.5,0
116,AbstractIteratorDecorator,100,100,1,1
158,AbstractKeyValue,100,100,1,1
164,AbstractLinkedList,0,0,0,0
180,AbstractLinkedMap,48,30,0.48,0.3
165,AbstractListDecorator,89,100,0.89,1
117,AbstractListIteratorDecorator,94,91,0.94,0.91
213,AbstractListValuedMap,11,11,0.11,0.11
23,AbstractMapBag,72,55,0.72,0.55
181,AbstractMapDecorator,100,100,1,1
159,AbstractMapEntry,92,88,0.92,0.88
160,AbstractMapEntryDecorator,57,50,0.57,0.5
118,AbstractMapIteratorDecorator,0,0,0,0
221,AbstractMapMultiSet,26,18,0.26,0.18
222,AbstractMultiSet,3,0,0.03,0
223,AbstractMultiSetDecorator,31,18,0.31,0.18
214,AbstractMultiValuedMap,11,7,0.11,0.07
215,AbstractMultiValuedMapDecorator,19,8,0.19,0.08
242,AbstractNavigableSetDecorator,0,0,0,0
39,AbstractOrderedBidiMapDecorator,0,0,0,0
182,AbstractOrderedMapDecorator,90,83,0.9,0.83
119,AbstractOrderedMapIteratorDecorator,0,0,0,0
261,AbstractPatriciaTrie,1,0,0.01,0
63,AbstractQuantifierPredicate,75,0,0.75,0
229,AbstractQueueDecorator,40,33,0.4,0.33
183,AbstractReferenceMap,0,0,0,0
166,AbstractSerializableListDecorator,100,25,1,0.25
243,AbstractSerializableSetDecorator,100,25,1,0.25
244,AbstractSetDecorator,71,100,0.71,1
216,AbstractSetValuedMap,0,0,0,0
24,AbstractSortedBagDecorator,38,25,0.38,0.25
40,AbstractSortedBidiMapDecorator,0,0,0,0
184,AbstractSortedMapDecorator,20,7,0.2,0.07
245,AbstractSortedSetDecorator,18,0,0.18,0
120,AbstractUntypedIteratorDecorator,89,100,0.89,1
64,AllPredicate,100,100,1,1
65,AndPredicate,89,86,0.89,0.86
66,AnyPredicate,94,93,0.94,0.93
121,ArrayIterator,90,82,0.9,0.82
122,ArrayListIterator,96,100,0.96,1
217,ArrayListValuedHashMap,23,14,0.23,0.14
1,ArrayStack,0,0,0,0
2,ArrayUtils,60,53,0.6,0.53
3,BagUtils,73,73,0.73,0.73
56,BooleanComparator,94,76,0.94,0.76
123,BoundedIterator,97,100,0.97,1
185,CaseInsensitiveMap,0,0,0,0
67,CatchAndRethrowClosure,100,100,1,1
68,ChainedClosure,96,85,0.96,0.85
69,ChainedTransformer,95,83,0.95,0.83
230,CircularFifoQueue,95,93,0.95,0.93
70,CloneTransformer,100,100,1,1
71,ClosureTransformer,89,60,0.89,0.6
4,ClosureUtils,97,100,0.97,1
124,CollatingIterator,83,77,0.83,0.77
25,CollectionBag,95,79,0.95,0.79
26,CollectionSortedBag,95,75,0.95,0.75
5,CollectionUtils,98,90,0.98,0.9
57,ComparableComparator,75,71,0.75,0.71
58,ComparatorChain,75,54,0.75,0.54
72,ComparatorPredicate,88,100,0.88,1
6,ComparatorUtils,80,81,0.8,0.81
49,CompositeCollection,86,67,0.86,0.67
186,CompositeMap,95,94,0.95,0.94
246,CompositeSet,95,92,0.95,0.92
73,ConstantFactory,78,80,0.78,0.8
74,ConstantTransformer,55,33,0.55,0.33
167,CursorableLinkedList,0,0,0,0
187,DefaultedMap,88,100,0.88,1
75,DefaultEquator,86,63,0.86,0.63
161,DefaultKeyValue,96,90,0.96,0.9
235,DeleteCommand,100,100,1,1
41,DualHashBidiMap,12,0,0.12,0
42,DualLinkedHashBidiMap,0,0,0,0
43,DualTreeBidiMap,0,0,0,0
236,EditCommand,100,100,1,1
237,EditScript,95,67,0.95,0.67
125,EmptyIterator,100,100,1,1
126,EmptyListIterator,83,50,0.83,0.5
127,EmptyMapIterator,100,100,1,1
128,EmptyOrderedIterator,100,100,1,1
129,EmptyOrderedMapIterator,100,100,1,1
130,EntrySetMapIterator,0,0,0,0
188,EntrySetToMapIteratorAdapter,72,67,0.72,0.67
131,EnumerationIterator,48,40,0.48,0.4
7,EnumerationUtils,93,88,0.93,0.88
76,EqualPredicate,94,90,0.94,0.9
77,ExceptionClosure,100,100,1,1
78,ExceptionFactory,100,100,1,1
79,ExceptionPredicate,100,100,1,1
80,ExceptionTransformer,100,100,1,1
81,FactoryTransformer,88,75,0.88,0.75
8,FactoryUtils,86,100,0.86,1
82,FalsePredicate,100,100,1,1
132,FilterIterator,86,86,0.86,0.86
133,FilterListIterator,76,88,0.76,0.88
59,FixedOrderComparator,90,60,0.9,0.6
168,FixedSizeList,70,73,0.7,0.73
189,FixedSizeMap,71,54,0.71,0.54
190,FixedSizeSortedMap,0,0,0,0
191,Flat3Map,0,0,0,0
9,FluentIterable,100,100,1,1
83,ForClosure,86,85,0.86,0.85
84,FunctorUtils,84,82,0.84,0.82
169,GrowthList,91,53,0.91,0.53
27,HashBag,100,50,1,0.5
192,HashedMap,67,40,0.67,0.4
224,HashMultiSet,42,0,0.42,0
218,HashSetValuedHashMap,0,0,0,0
85,IdentityPredicate,88,83,0.88,0.83
86,IfClosure,65,73,0.65,0.73
87,IfTransformer,81,77,0.81,0.77
50,IndexedCollection,98,83,0.98,0.83
238,InsertCommand,100,100,1,1
88,InstanceofPredicate,75,75,0.75,0.75
89,InstantiateFactory,79,88,0.79,0.88
90,InstantiateTransformer,70,88,0.7,0.88
91,InvokerTransformer,82,100,0.82,1
10,IterableUtils,97,84,0.97,0.84
134,IteratorChain,77,60,0.77,0.6
135,IteratorEnumeration,60,100,0.6,1
136,IteratorIterable,76,89,0.76,0.89
11,IteratorUtils,74,78,0.74,0.78
239,KeepCommand,100,100,1,1
262,KeyAnalyzer,10,0,0.1,0
137,LazyIteratorChain,100,100,1,1
170,LazyList,71,67,0.71,0.67
194,LazyMap,100,100,1,1
195,LazySortedMap,100,100,1,1
196,LinkedMap,22,8,0.22,0.08
138,ListIteratorWrapper,85,92,0.85,0.92
197,ListOrderedMap,56,48,0.56,0.48
247,ListOrderedSet,95,91,0.95,0.91
12,ListUtils,89,85,0.89,0.85
139,LoopingIterator,100,100,1,1
140,LoopingListIterator,91,93,0.91,0.93
193,LRUMap,0,0,0,0
248,MapBackedSet,97,100,0.97,1
92,MapTransformer,88,80,0.88,0.8
13,MapUtils,93,89,0.93,0.89
162,MultiKey,97,94,0.97,0.94
198,MultiKeyMap,0,0,0,0
14,MultiMapUtils,71,68,0.71,0.68
15,MultiSetUtils,86,100,0.86,1
199,MultiValueMap,95,91,0.95,0.91
171,NodeCachingLinkedList,0,0,0,0
141,NodeListIterator,94,100,0.94,1
95,NonePredicate,100,100,1,1
93,NOPClosure,100,100,1,1
94,NOPTransformer,50,100,0.5,1
96,NotNullPredicate,100,100,1,1
97,NotPredicate,88,80,0.88,0.8
60,NullComparator,48,45,0.48,0.45
98,NullIsExceptionPredicate,90,60,0.9,0.6
99,NullIsFalsePredicate,90,83,0.9,0.83
100,NullIsTruePredicate,90,83,0.9,0.83
101,NullPredicate,100,100,1,1
142,ObjectArrayIterator,93,88,0.93,0.88
143,ObjectArrayListIterator,88,94,0.88,0.94
144,ObjectGraphIterator,100,100,1,1
102,OnePredicate,94,91,0.94,0.91
103,OrPredicate,89,86,0.89,0.86
200,PassiveExpiringMap,0,0,0,0
145,PeekingIterator,90,86,0.9,0.86
146,PermutationIterator,100,89,1,0.89
28,PredicatedBag,36,18,0.36,0.18
51,PredicatedCollection,82,84,0.82,0.84
172,PredicatedList,94,74,0.94,0.74
201,PredicatedMap,100,89,1,0.89
225,PredicatedMultiSet,36,21,0.36,0.21
249,PredicatedNavigableSet,0,0,0,0
231,PredicatedQueue,100,88,1,0.88
250,PredicatedSet,100,100,1,1
29,PredicatedSortedBag,43,20,0.43,0.2
202,PredicatedSortedMap,100,100,1,1
251,PredicatedSortedSet,0,0,0,0
104,PredicateTransformer,88,75,0.88,0.75
16,PredicateUtils,81,83,0.81,0.83
105,PrototypeFactory,71,71,0.71,0.71
147,PushbackIterator,80,89,0.8,0.89
17,QueueUtils,86,100,0.86,1
203,ReferenceIdentityMap,0,0,0,0
204,ReferenceMap,0,0,0,0
240,ReplacementsFinder,0,0,0,0
61,ReverseComparator,80,73,0.8,0.73
148,ReverseListIterator,94,100,0.94,1
241,SequencesComparator,99,95,0.99,0.95
173,SetUniqueList,93,96,0.93,0.96
18,SetUtils,74,73,0.74,0.73
149,SingletonIterator,100,100,1,1
150,SingletonListIterator,100,100,1,1
205,SingletonMap,0,0,0,0
151,SkippingIterator,100,100,1,1
228,SortedProperties,100,100,1,1
19,SplitMapUtils,81,59,0.81,0.59
206,StaticBucketMap,0,0,0,0
264,StringKeyAnalyzer,3,0,0.03,0
106,StringValueTransformer,100,100,1,1
107,SwitchClosure,92,71,0.92,0.71
108,SwitchTransformer,92,73,0.92,0.73
30,SynchronizedBag,11,10,0.11,0.1
52,SynchronizedCollection,68,88,0.68,0.88
226,SynchronizedMultiSet,18,25,0.18,0.25
232,SynchronizedQueue,10,9,0.1,0.09
31,SynchronizedSortedBag,20,20,0.2,0.2
163,TiedMapEntry,95,90,0.95,0.9
32,TransformedBag,17,7,0.17,0.07
53,TransformedCollection,100,90,1,0.9
174,TransformedList,95,86,0.95,0.86
207,TransformedMap,100,91,1,0.91
219,TransformedMultiValuedMap,0,0,0,0
252,TransformedNavigableSet,0,0,0,0
109,TransformedPredicate,77,67,0.77,0.67
233,TransformedQueue,100,91,1,0.91
253,TransformedSet,100,89,1,0.89
33,TransformedSortedBag,21,11,0.21,0.11
208,TransformedSortedMap,0,0,0,0
254,TransformedSortedSet,0,0,0,0
259,TransformedSplitMap,77,67,0.77,0.67
110,TransformerClosure,89,75,0.89,0.75
111,TransformerPredicate,91,80,0.91,0.8
20,TransformerUtils,97,100,0.97,1
62,TransformingComparator,100,57,1,0.57
152,TransformIterator,45,67,0.45,0.67
34,TreeBag,50,38,0.5,0.38
44,TreeBidiMap,0,0,0,0
175,TreeList,0,0,0,0
21,TrieUtils,50,100,0.5,1
112,TruePredicate,50,100,0.5,1
113,UniquePredicate,100,100,1,1
35,UnmodifiableBag,26,33,0.26,0.33
45,UnmodifiableBidiMap,0,0,0,0
54,UnmodifiableBoundedCollection,75,63,0.75,0.63
55,UnmodifiableCollection,100,100,1,1
209,UnmodifiableEntrySet,39,16,0.39,0.16
153,UnmodifiableIterator,100,100,1,1
176,UnmodifiableList,100,100,1,1
154,UnmodifiableListIterator,100,100,1,1
210,UnmodifiableMap,81,58,0.81,0.58
155,UnmodifiableMapIterator,100,100,1,1
227,UnmodifiableMultiSet,19,20,0.19,0.2
220,UnmodifiableMultiValuedMap,26,20,0.26,0.2
255,UnmodifiableNavigableSet,0,0,0,0
46,UnmodifiableOrderedBidiMap,0,0,0,0
211,UnmodifiableOrderedMap,92,70,0.92,0.7
156,UnmodifiableOrderedMapIterator,100,100,1,1
234,UnmodifiableQueue,91,63,0.91,0.63
256,UnmodifiableSet,62,50,0.62,0.5
36,UnmodifiableSortedBag,23,33,0.23,0.33
47,UnmodifiableSortedBidiMap,0,0,0,0
212,UnmodifiableSortedMap,84,60,0.84,0.6
257,UnmodifiableSortedSet,17,0,0.17,0
263,UnmodifiableTrie,28,16,0.28,0.16
114,WhileClosure,83,70,0.83,0.7
157,ZippingIterator,97,100,0.97,1
