Sr.No,Class Name,Line Coverage,Branch Coverage,Branch Missed,Branch Missed+Covered,BranchCoveragePercentageDecimal,BranchCoveragePercentage
1,LocaleUtils,94,82,6,88,0.9318182,93.181816
2,EnumUtils,70,36,0,36,1,100
3,Conversion,429,376,84,460,0.8173913,81.73913
4,ArchUtils,35,3,1,4,0.75,75
5,CharUtils,51,54,0,54,1,100
6,AnnotationUtils,94,84,8,92,0.9130435,91.30435
7,NotImplementedException,16,0,0,0,0,0
8,BooleanUtils,190,245,9,254,0.96456695,96.456696
9,Functions,44,17,7,24,0.7083333,70.83333
10,ObjectUtils,169,102,2,104,0.9807692,98.07692
11,RegExUtils,20,30,0,30,1,100
12,StringUtils,1698,1495,26,1521,0.982906,98.290596
13,SerializationUtils,29,8,0,8,1,100
14,CharSet,58,33,1,34,0.9705882,97.05882
15,RandomStringUtils,64,58,0,58,1,100
16,Range,80,68,8,76,0.8947368,89.47369
17,RandomUtils,32,26,0,26,1,100
18,BitField,21,12,0,12,1,100
19,CharRange,42,48,2,50,0.96,96
20,ClassUtils,330,239,19,258,0.9263566,92.63566
21,JavaVersion,71,41,5,46,0.8913044,89.13044
22,Validate,144,118,6,124,0.9516129,95.161285
23,ArrayUtils,2010,1459,95,1554,0.93886745,93.88674
24,CharEncoding,6,2,0,2,1,100
25,CharSequenceUtils,69,58,12,70,0.82857144,82.85715
26,StringEscapeUtils,67,0,0,0,0,0
27,CharSetUtils,61,53,1,54,0.9814815,98.14815
28,ThreadUtils,59,41,5,46,0.8913044,89.13044
29,SystemUtils,133,33,15,48,0.6875,68.75
30,ClassPathUtils,14,0,0,0,0,0
31,TypeUtils,360,262,164,426,0.6150235,61.50235
32,TypeLiteral,12,2,2,4,0.5,50
33,MemberUtils,72,65,9,74,0.8783784,87.83784
34,FieldUtils,140,73,9,82,0.8902439,89.02439
35,ConstructorUtils,50,21,3,24,0.875,87.5
36,InheritanceUtils,12,10,0,10,1,100
37,MethodUtils,228,131,17,148,0.8851351,88.51351
38,EventUtils,13,0,0,0,0,0
39,EventListenerSupport,50,5,1,6,0.8333333,83.33333
40,MutableTriple,17,0,0,0,0,0
41,ImmutableTriple,11,0,0,0,0,0
42,Triple,18,14,2,16,0.875,87.5
43,ImmutablePair,9,0,0,0,0,0
44,Pair,17,11,1,12,0.9166667,91.66667
45,MutablePair,16,0,0,0,0,0
46,ContextedRuntimeException,28,2,0,2,1,100
47,ExceptionUtils,137,86,6,92,0.9347826,93.478264
48,ContextedException,28,2,0,2,1,100
49,DefaultExceptionContext,54,24,0,24,1,100
50,Processor,11,0,0,0,0,0
51,FormatCache,36,16,2,18,0.8888889,88.88889
52,FastDatePrinter,226,129,14,143,0.9020979,90.209785
53,FastDateFormat,46,2,0,2,1,100
54,DateFormatUtils,43,0,0,0,0,0
55,DurationFormatUtils,207,113,10,123,0.9186992,91.86992
56,FastDateParser,138,77,5,82,0.9390244,93.902435
57,DateUtils,282,184,14,198,0.9292929,92.92929
58,GmtTimeZone,23,12,0,12,1,100
59,FastTimeZone,19,18,0,18,1,100
60,StopWatch,63,29,1,30,0.96666664,96.666664
61,StrSubstitutor,262,99,7,106,0.9339623,93.396225
62,FormattableUtils,14,15,1,16,0.9375,93.75
63,ExtendedMessageFormat,157,78,31,109,0.7155963,71.55963
