Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
1,AnnotationUtils,85,86,0.85,0.86
2,ArchUtils,92,90,0.92,0.9
3,ArrayUtils,98,86,0.98,0.86
4,BitField,100,97,1,0.97
5,BooleanUtils,100,100,1,1
6,CharEncoding,100,100,1,1
7,CharRange,99,91,0.99,0.91
8,CharSequenceUtils,95,85,0.95,0.85
9,CharSet,98,98,0.98,0.98
10,CharSetUtils,100,100,1,1
11,CharUtils,100,100,1,1
12,ClassPathUtils,100,100,1,1
13,ClassUtils,94,93,0.94,0.93
14,Conversion,93,83,0.93,0.83
15,EnumUtils,100,100,1,1
16,Functions,78,82,0.78,0.82
17,JavaVersion,93,78,0.93,0.78
18,LocaleUtils,100,100,1,1
19,NotImplementedException,100,100,1,1
20,ObjectUtils,96,86,0.96,0.86
21,RandomStringUtils,100,95,1,0.95
22,RandomUtils,100,87,1,0.87
23,Range,98,90,0.98,0.9
24,RegExUtils,95,100,0.95,1
25,SerializationUtils,93,95,0.93,0.95
26,StringEscapeUtils,100,100,1,1
27,StringUtils,100,92,1,0.92
28,SystemUtils,97,97,0.97,0.97
29,ThreadUtils,100,89,1,0.89
30,Validate,96,55,0.96,0.55
31,Processor,100,100,1,1
32,CompareToBuilder,91,87,0.91,0.87
33,Diff,100,100,1,1
34,DiffBuilder,100,81,1,0.81
35,DiffResult,100,100,1,1
36,EqualsBuilder,92,88,0.92,0.88
37,HashCodeBuilder,97,96,0.97,0.96
38,IDKey,91,57,0.91,0.57
39,MultilineRecursiveToStringStyle,79,79,0.79,0.79
40,RecursiveToStringStyle,100,100,1,1
41,ReflectionDiffBuilder,86,82,0.86,0.82
42,ReflectionToStringBuilder,94,84,0.94,0.84
43,StandardToStringStyle,42,10,0.42,0.1
44,ToStringBuilder,100,100,1,1
45,ToStringStyle,95,84,0.95,0.84
46,AbstractCircuitBreaker,100,100,1,1
47,AtomicInitializer,88,67,0.88,0.67
48,AtomicSafeInitializer,100,75,1,0.75
49,BackgroundInitializer,100,95,1,0.95
50,BasicThreadFactory,100,100,1,1
51,CallableBackgroundInitializer,100,100,1,1
52,ConcurrentUtils,96,100,0.96,1
53,ConstantInitializer,100,90,1,0.9
54,EventCountCircuitBreaker,100,88,1,0.88
55,LazyInitializer,100,33,1,0.33
56,Memoizer,88,89,0.88,0.89
57,MultiBackgroundInitializer,100,100,1,1
58,ThresholdCircuitBreaker,100,90,1,0.9
59,TimedSemaphore,100,98,1,0.98
60,EventListenerSupport,98,93,0.98,0.93
61,EventUtils,86,100,0.86,1
62,ContextedException,100,90,1,0.9
63,ContextedRuntimeException,100,90,1,0.9
64,DefaultExceptionContext,100,79,1,0.79
65,ExceptionUtils,93,78,0.93,0.78
66,Fraction,98,85,0.98,0.85
67,IEEE754rUtils,100,96,1,0.96
68,NumberUtils,98,86,0.98,0.86
69,MutableBoolean,100,100,1,1
70,MutableByte,100,100,1,1
71,MutableDouble,100,100,1,1
72,MutableFloat,100,100,1,1
73,MutableInt,100,100,1,1
74,MutableLong,100,97,1,0.97
75,MutableObject,94,92,0.94,0.92
76,MutableShort,100,100,1,1
77,ConstructorUtils,93,96,0.93,0.96
78,FieldUtils,98,84,0.98,0.84
79,InheritanceUtils,100,92,1,0.92
80,MemberUtils,93,82,0.93,0.82
81,MethodUtils,95,86,0.95,0.86
82,TypeLiteral,75,44,0.75,0.44
83,TypeUtils,72,68,0.72,0.68
84,CompositeFormat,100,100,1,1
85,ExtendedMessageFormat,87,70,0.87,0.7
86,FormattableUtils,82,82,0.82,0.82
87,StrBuilder,98,75,0.98,0.75
88,StrLookup,95,100,0.95,1
89,StrMatcher,98,96,0.98,0.96
90,StrSubstitutor,97,86,0.97,0.86
91,StrTokenizer,92,95,0.92,0.95
92,WordUtils,100,92,1,0.92
93,AggregateTranslator,100,100,1,1
94,CharSequenceTranslator,94,85,0.94,0.85
95,CodePointTranslator,100,100,1,1
96,EntityArrays,100,15,1,0.15
97,JavaUnicodeEscaper,63,20,0.63,0.2
98,LookupTranslator,100,83,1,0.83
99,NumericEntityEscaper,100,100,1,1
100,NumericEntityUnescaper,100,96,1,0.96
101,OctalUnescaper,100,94,1,0.94
102,UnicodeEscaper,88,91,0.88,0.91
103,UnicodeUnescaper,100,86,1,0.86
104,UnicodeUnpairedSurrogateRemover,100,100,1,1
105,DateFormatUtils,98,94,0.98,0.94
106,DateUtils,97,94,0.97,0.94
107,DurationFormatUtils,95,89,0.95,0.89
108,FastDateFormat,94,90,0.94,0.9
109,FastDateParser,98,85,0.98,0.85
110,FastDatePrinter,95,78,0.95,0.78
111,FastTimeZone,90,100,0.9,1
112,FormatCache,92,77,0.92,0.77
113,GmtTimeZone,100,88,1,0.88
114,StopWatch,99,88,0.99,0.88
115,ImmutablePair,90,100,0.9,1
116,ImmutableTriple,100,100,1,1
117,MutablePair,100,80,1,0.8
118,MutableTriple,100,100,1,1
119,Pair,100,100,1,1
120,Triple,100,72,1,0.72
