Sr.No,Class Name,Line Coverage,Branch Coverage,Branch Missed,Branch Missed+Covered,BranchCoveragePercentageDecimal,BranchCoveragePercentage
99,Abs,2,0,0,0,0,0
423,AbstractConvergenceChecker,8,0,0,0,0,0
656,AbstractConvergenceChecker,6,0,0,0,0,0
442,AbstractConvexHullGenerator2D,16,2,0,2,1,100
408,AbstractCurveFitter,3,0,0,0,0,0
643,AbstractDifferentiableOptimizer,0,0,0,0,0,0
664,AbstractDifferentiableUnivariateSolver,7,0,0,0,0,0
153,AbstractEvaluation,18,2,0,2,1,100
168,AbstractFieldIntegrator,123,44,6,50,0.88,88
306,AbstractFieldMatrix,375,203,39,242,0.838843,83.8843
612,AbstractFieldStepInterpolator,18,0,0,0,0,0
449,AbstractFormat,33,9,3,12,0.75,75
382,AbstractIntegerDistribution,56,35,9,44,0.79545456,79.545456
158,AbstractIntegrator,137,60,2,62,0.9677419,96.77419
528,AbstractLeastSquaresOptimizer,41,12,2,14,0.85714287,85.71429
640,AbstractLeastSquaresOptimizer,71,20,2,22,0.90909094,90.909096
24,AbstractLinearOptimizer,19,1,1,2,0.5,50
471,AbstractListChromosome,12,1,1,2,0.5,50
15,AbstractMultipleLinearRegression,78,42,6,48,0.875,87.5
368,AbstractMultivariateRealDistribution,12,3,1,4,0.75,75
657,AbstractOptimizationProblem,10,0,0,0,0,0
164,AbstractParameterizable,13,8,0,8,1,100
672,AbstractPolynomialSolver,6,0,0,0,0,0
553,AbstractRandomGenerator,40,17,5,22,0.77272725,77.27273
385,AbstractRealDistribution,62,39,5,44,0.8863636,88.63636
309,AbstractRealMatrix,338,176,22,198,0.8888889,88.88889
598,AbstractRegion,138,72,18,90,0.8,80
644,AbstractScalarDifferentiableOptimizer,7,0,0,0,0,0
336,AbstractSimplex,75,41,13,54,0.7592593,75.92593
638,AbstractSimplex,75,41,13,54,0.7592593,75.92593
608,AbstractStepInterpolator,171,25,9,34,0.7352941,73.52941
626,AbstractStorelessUnivariateStatistic,24,16,2,18,0.8888889,88.88889
604,AbstractSubHyperplane,40,14,2,16,0.875,87.5
670,AbstractUnivariateDifferentiableSolver,7,0,0,0,0,0
627,AbstractUnivariateStatistic,11,2,10,12,0.16666667,16.666668
568,AbstractWell,39,8,0,8,1,100
105,Acos,2,0,0,0,0,0
110,Acosh,0,0,0,0,0,0
269,AdamsBashforthFieldIntegrator,79,34,2,36,0.9444444,94.44444
270,AdamsBashforthIntegrator,83,35,3,38,0.92105263,92.10526
276,AdamsFieldIntegrator,10,0,0,0,0,0
263,AdamsFieldStepInterpolator,31,6,0,6,1,100
261,AdamsIntegrator,10,0,0,0,0,0
273,AdamsMoultonFieldIntegrator,70,29,1,30,0.96666664,96.666664
229,AdamsMoultonIntegrator,76,30,2,32,0.9375,93.75
271,AdamsNordsieckFieldTransformer,75,32,0,32,1,100
236,AdamsNordsieckTransformer,74,32,0,32,1,100
258,AdaptiveStepsizeFieldIntegrator,77,28,14,42,0.6666667,66.66667
246,AdaptiveStepsizeIntegrator,83,39,7,46,0.84782606,84.78261
102,Add,2,0,0,0,0,0
630,AggregateSummaryStatistics,56,15,9,24,0.625,62.5
485,AgrestiCoullInterval,11,0,0,0,0,0
186,AkimaSplineInterpolator,63,23,3,26,0.88461536,88.46153
439,AklToussaintHeuristic,44,41,3,44,0.9318182,93.181816
585,Arc,23,16,0,16,1,100
584,ArcsSet,215,111,15,126,0.88095236,88.09524
60,ArgUtils,8,7,1,8,0.875,87.5
50,ArithmeticUtils,200,140,10,150,0.93333334,93.333336
300,Array2DRowFieldMatrix,177,83,9,92,0.90217394,90.21739
286,Array2DRowRealMatrix,188,89,7,96,0.9270833,92.70833
316,ArrayFieldVector,289,96,18,114,0.84210527,84.210526
321,ArrayRealVector,357,140,4,144,0.9722222,97.22222
122,Asin,2,0,0,0,0,0
108,Asinh,0,0,0,0,0,0
91,Atan,2,0,0,0,0,0
94,Atan2,0,0,0,0,0,0
92,Atanh,0,0,0,0,0,0
506,AVLTree,38,27,9,36,0.75,75
340,BaseAbstractMultivariateOptimizer,62,33,5,38,0.8684211,86.84211
332,BaseAbstractMultivariateSimpleBoundsOptimizer,4,0,0,0,0,0
341,BaseAbstractMultivariateVectorOptimizer,42,11,11,22,0.5,50
