Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
8,Abs,100,0,1,0
463,AbstractConvergenceChecker,100,100,1,1
521,AbstractConvergenceChecker,67,100,0.67,1
272,AbstractConvexHullGenerator2D,100,83,1,0.83
189,AbstractCurveFitter,100,100,1,1
551,AbstractDifferentiableOptimizer,0,0,0,0
97,AbstractDifferentiableUnivariateSolver,78,67,0.78,0.67
200,AbstractEvaluation,100,100,1,1
383,AbstractFieldIntegrator,98,80,0.98,0.8
306,AbstractFieldMatrix,88,74,0.88,0.74
456,AbstractFieldStepInterpolator,100,100,1,1
209,AbstractFormat,87,77,0.87,0.77
125,AbstractIntegerDistribution,86,72,0.86,0.72
384,AbstractIntegrator,99,85,0.99,0.85
510,AbstractLeastSquaresOptimizer,95,96,0.95,0.96
552,AbstractLeastSquaresOptimizer,83,82,0.83,0.82
557,AbstractLinearOptimizer,95,82,0.95,0.82
218,AbstractListChromosome,100,60,1,0.6
664,AbstractMultipleLinearRegression,93,87,0.93,0.87
126,AbstractMultivariateRealDistribution,86,88,0.86,0.88
464,AbstractOptimizationProblem,100,100,1,1
385,AbstractParameterizable,72,80,0.72,0.8
98,AbstractPolynomialSolver,60,100,0.6,1
572,AbstractRandomGenerator,85,74,0.85,0.74
127,AbstractRealDistribution,91,80,0.91,0.8
307,AbstractRealMatrix,91,79,0.91,0.79
276,AbstractRegion,93,85,0.93,0.85
553,AbstractScalarDifferentiableOptimizer,88,100,0.88,1
496,AbstractSimplex,84,92,0.84,0.92
534,AbstractSimplex,84,92,0.84,0.92
457,AbstractStepInterpolator,92,87,0.92,0.87
616,AbstractStorelessUnivariateStatistic,96,88,0.96,0.88
277,AbstractSubHyperplane,98,94,0.98,0.94
99,AbstractUnivariateDifferentiableSolver,78,100,0.78,1
617,AbstractUnivariateStatistic,46,40,0.46,0.4
573,AbstractWell,100,95,1,0.95
9,Acos,50,0,0.5,0
10,Acosh,0,0,0,0
407,AdamsBashforthFieldIntegrator,99,68,0.99,0.68
408,AdamsBashforthIntegrator,95,70,0.95,0.7
409,AdamsFieldIntegrator,100,100,1,1
410,AdamsFieldStepInterpolator,97,79,0.97,0.79
411,AdamsIntegrator,100,100,1,1
412,AdamsMoultonFieldIntegrator,99,65,0.99,0.65
413,AdamsMoultonIntegrator,96,67,0.96,0.67
414,AdamsNordsieckFieldTransformer,99,73,0.99,0.73
415,AdamsNordsieckTransformer,97,99,0.97,0.99
416,AdaptiveStepsizeFieldIntegrator,89,52,0.89,0.52
417,AdaptiveStepsizeIntegrator,97,79,0.97,0.79
11,Add,100,100,1,1
618,AggregateSummaryStatistics,64,61,0.64,0.61
657,AgrestiCoullInterval,100,100,1,1
67,AkimaSplineInterpolator,94,94,0.94,0.94
273,AklToussaintHeuristic,92,40,0.92,0.4
291,Arc,96,76,0.96,0.76
292,ArcsSet,93,70,0.93,0.7
182,ArgUtils,89,100,0.89,1
675,ArithmeticUtils,90,81,0.9,0.81
308,Array2DRowFieldMatrix,89,77,0.89,0.77
309,Array2DRowRealMatrix,97,84,0.97,0.84
310,ArrayFieldVector,83,56,0.83,0.56
311,ArrayRealVector,98,86,0.98,0.86
12,Asin,50,0,0.5,0
13,Asinh,0,0,0,0
14,Atan,50,0,0.5,0
15,Atan2,0,0,0,0
16,Atanh,0,0,0,0
289,AVLTree,98,79,0.98,0.79
536,BaseAbstractMultivariateOptimizer,95,98,0.95,0.98
537,BaseAbstractMultivariateSimpleBoundsOptimizer,80,100,0.8,1
538,BaseAbstractMultivariateVectorOptimizer,70,63,0.7,0.63
53,BaseAbstractUnivariateIntegrator,93,84,0.93,0.84
563,BaseAbstractUnivariateOptimizer,93,100,0.93,1
100,BaseAbstractUnivariateSolver,98,92,0.98,0.92
465,BaseMultiStartMultivariateOptimizer,94,79,0.94,0.79
522,BaseMultivariateMultiStartOptimizer,76,58,0.76,0.58
466,BaseMultivariateOptimizer,97,96,0.97,0.96
523,BaseMultivariateVectorMultiStartOptimizer,87,44,0.87,0.44
467,BaseOptimizer,87,78,0.87,0.78
60,BaseRuleFactory,88,100,0.88,1
101,BaseSecantSolver,96,73,0.96,0.73
599,BesselJ,95,65,0.95,0.65
600,Beta,94,88,0.94,0.88
128,BetaDistribution,90,78,0.9,0.78
68,BicubicInterpolatingFunction,97,100,0.97,1
69,BicubicInterpolator,97,86,0.97,0.86
70,BicubicSplineInterpolatingFunction,90,74,0.9,0.74
71,BicubicSplineInterpolator,98,67,0.98,0.67
312,BiDiagonalTransformer,98,95,0.98,0.95
210,BigFraction,91,79,0.91,0.79
211,BigFractionField,100,100,1,1
212,BigFractionFormat,87,74,0.87,0.74
676,BigReal,93,79,0.93,0.79
677,BigRealField,88,80,0.88,0.8
219,BinaryChromosome,96,89,0.96,0.89
220,BinaryMutation,89,100,0.89,1
129,BinomialDistribution,88,98,0.88,0.98
648,BinomialTest,81,65,0.81,0.65
102,BisectionSolver,89,63,0.89,0.63
574,BitsStreamGenerator,80,57,0.8,0.57
313,BlockFieldMatrix,87,79,0.87,0.79
314,BlockRealMatrix,95,86,0.95,0.86
497,BOBYQAOptimizer,87,66,0.87,0.66
535,BOBYQAOptimizer,87,66,0.87,0.66
279,BoundaryAttribute,80,100,0.8,1
280,BoundaryBuilder,100,93,1,0.93
281,BoundaryProjection,100,100,1,1
282,BoundaryProjector,100,88,1,0.88
283,BoundarySizeVisitor,100,100,1,1
513,BracketFinder,90,58,0.9,0.58
564,BracketFinder,82,30,0.82,0.3
103,BracketingNthOrderBrentSolver,99,83,0.99,0.83
120,BracketingNthOrderBrentSolverDFP,91,71,0.91,0.71
514,BrentOptimizer,95,83,0.95,0.83
