GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Math,org.apache.commons.math.stat.clustering,KMeansPlusPlusClusterer.new Object() {...},3,23,0,0,0,1,0,1,0,1
Commons Math,org.apache.commons.math.stat.clustering,KMeansPlusPlusClusterer,22,429,6,48,4,110,6,31,0,9
Commons Math,org.apache.commons.math.stat.clustering,Cluster,0,23,0,0,0,8,0,4,0,4
Commons Math,org.apache.commons.math.stat.clustering,KMeansPlusPlusClusterer.EmptyClusterStrategy,5,53,0,0,0,5,1,3,1,3
Commons Math,org.apache.commons.math.stat.clustering,EuclideanIntegerPoint,74,104,8,12,14,20,7,10,2,5
Commons Math,org.apache.commons.math,ArgumentOutsideDomainException,0,22,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math,MaxEvaluationsExceededException,20,14,0,0,6,3,3,1,3,1
Commons Math,org.apache.commons.math,MathRuntimeException.new ArrayIndexOutOfBoundsException() {...},14,9,0,0,2,1,2,1,2,1
Commons Math,org.apache.commons.math,MathRuntimeException.new ArithmeticException() {...},7,16,0,0,1,2,1,2,1,2
Commons Math,org.apache.commons.math,MathRuntimeException.new ConcurrentModificationException() {...},14,9,0,0,2,1,2,1,2,1
Commons Math,org.apache.commons.math,MathRuntimeException.new IllegalStateException() {...},14,9,0,0,2,1,2,1,2,1
Commons Math,org.apache.commons.math,MathRuntimeException.new IllegalArgumentException() {...},14,9,0,0,2,1,2,1,2,1
Commons Math,org.apache.commons.math,MathConfigurationException,17,18,0,0,4,8,2,4,2,4
Commons Math,org.apache.commons.math,MathRuntimeException.new EOFException() {...},14,9,0,0,2,1,2,1,2,1
Commons Math,org.apache.commons.math,MathRuntimeException.new NullPointerException() {...},23,0,0,0,3,0,3,0,3,0
Commons Math,org.apache.commons.math,MathRuntimeException.new UnsupportedOperationException() {...},23,0,0,0,3,0,3,0,3,0
Commons Math,org.apache.commons.math,MathRuntimeException.new NoSuchElementException() {...},14,9,0,0,2,1,2,1,2,1
Commons Math,org.apache.commons.math,MathRuntimeException,207,92,6,2,44,17,28,13,24,13
Commons Math,org.apache.commons.math,FunctionEvaluationException,38,111,0,0,8,25,4,9,4,9
Commons Math,org.apache.commons.math,DuplicateSampleAbscissaException,0,28,0,0,0,4,0,2,0,2
Commons Math,org.apache.commons.math,MathRuntimeException.new ParseException() {...},14,11,0,0,2,1,2,1,2,1
Commons Math,org.apache.commons.math,MathRuntimeException.new RuntimeException() {...},24,0,0,0,3,0,3,0,3,0
Commons Math,org.apache.commons.math,MaxIterationsExceededException,9,25,0,0,2,7,1,3,1,3
Commons Math,org.apache.commons.math,MathException,36,115,2,6,7,30,6,13,4,11
Commons Math,org.apache.commons.math,DimensionMismatchException,0,28,0,0,0,6,0,3,0,3
Commons Math,org.apache.commons.math,ConvergingAlgorithmImpl,0,88,0,2,0,31,0,15,0,14
Commons Math,org.apache.commons.math,ConvergenceException,17,21,0,0,4,8,2,4,2,4
Commons Math,org.apache.commons.math.analysis.integration,SimpsonIntegrator,43,114,3,9,7,26,5,6,2,3
Commons Math,org.apache.commons.math.analysis.integration,LegendreGaussIntegrator,33,456,3,12,4,69,4,10,1,4
Commons Math,org.apache.commons.math.analysis.integration,UnivariateRealIntegratorImpl,49,87,5,5,15,24,7,8,4,6
Commons Math,org.apache.commons.math.analysis.integration,TrapezoidIntegrator,18,169,2,12,4,33,4,9,2,4
Commons Math,org.apache.commons.math.analysis.integration,RombergIntegrator,18,163,2,10,4,33,4,7,2,3
Commons Math,org.apache.commons.math.optimization.fitting,HarmonicFitter,24,93,1,3,4,21,1,5,0,4
Commons Math,org.apache.commons.math.optimization.fitting,WeightedObservedPoint,0,21,0,0,0,8,0,4,0,4
Commons Math,org.apache.commons.math.optimization.fitting,PolynomialFitter.ParametricPolynomial,0,48,0,4,0,11,0,5,0,3
Commons Math,org.apache.commons.math.optimization.fitting,CurveFitter.TheoreticalValuesFunction,0,47,0,2,0,10,0,4,0,3
Commons Math,org.apache.commons.math.optimization.fitting,PolynomialFitter,6,39,0,0,2,9,0,4,0,4
Commons Math,org.apache.commons.math.optimization.fitting,HarmonicFunction,15,33,0,0,1,9,1,5,1,5
Commons Math,org.apache.commons.math.optimization.fitting,GaussianFunction,74,47,5,3,14,13,7,5,3,5
Commons Math,org.apache.commons.math.optimization.fitting,GaussianParametersGuesser.new Comparator() {...},44,26,15,5,13,7,10,2,0,2
Commons Math,org.apache.commons.math.optimization.fitting,CurveFitter,6,91,0,2,2,22,1,7,1,6
Commons Math,org.apache.commons.math.optimization.fitting,ParametricGaussianFunction,0,135,0,6,0,25,0,7,0,4
Commons Math,org.apache.commons.math.optimization.fitting,GaussianDerivativeFunction,97,0,8,0,20,0,7,0,3,0
Commons Math,org.apache.commons.math.optimization.fitting,CurveFitter.TheoreticalValuesFunction.new MultivariateMatrixFunction() {...},0,42,0,2,0,7,0,3,0,2
Commons Math,org.apache.commons.math.optimization.fitting,GaussianParametersGuesser,23,363,11,31,5,57,10,20,0,9
Commons Math,org.apache.commons.math.optimization.fitting,HarmonicFitter.ParametricHarmonicFunction,0,71,0,0,0,12,0,3,0,3
Commons Math,org.apache.commons.math.optimization.fitting,GaussianFitter,0,43,0,0,0,10,0,5,0,5
Commons Math,org.apache.commons.math.optimization.fitting,HarmonicCoefficientsGuesser,7,370,2,16,1,77,2,15,0,8
Commons Math,org.apache.commons.math.stat,Frequency.NaturalComparator,0,7,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math.stat,StatUtils,19,349,1,15,4,66,2,34,1,27
Commons Math,org.apache.commons.math.stat,Frequency,53,442,10,36,16,115,12,46,4,31
Commons Math,org.apache.commons.math.optimization.linear,SimplexSolver,0,275,0,38,0,61,0,26,0,7
Commons Math,org.apache.commons.math.optimization.linear,Relationship.new Object() {...},2,17,0,0,0,1,0,1,0,1
Commons Math,org.apache.commons.math.optimization.linear,UnboundedSolutionException,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math.optimization.linear,LinearObjectiveFunction,22,69,4,4,4,19,6,8,2,8
Commons Math,org.apache.commons.math.optimization.linear,AbstractLinearOptimizer,15,39,1,1,3,13,3,4,2,4
Commons Math,org.apache.commons.math.optimization.linear,Relationship,10,58,1,2,2,10,3,5,2,4
Commons Math,org.apache.commons.math.optimization.linear,SimplexTableau,46,945,10,106,10,166,13,76,3,28
Commons Math,org.apache.commons.math.optimization.linear,NoFeasibleSolutionException,0,6,0,0,0,2,0,1,0,1
Commons Math,org.apache.commons.math.optimization.linear,LinearConstraint,74,73,7,5,18,21,9,8,3,8
Commons Math,org.apache.commons.math.exception.util,DummyLocalizable,6,9,0,0,2,4,2,2,2,2
Commons Math,org.apache.commons.math.exception.util,ArgUtils,3,56,0,8,2,8,1,5,1,1
Commons Math,org.apache.commons.math.exception.util,LocalizedFormats,10,2895,1,1,1,271,3,4,2,4
Commons Math,org.apache.commons.math.exception.util,MessageFactory,9,45,0,6,2,10,2,4,2,1
Commons Math,org.apache.commons.math.special,Erf,3,61,0,12,2,10,1,8,1,2
Commons Math,org.apache.commons.math.special,Beta,17,133,1,23,4,16,4,15,3,4
Commons Math,org.apache.commons.math.special,Gamma.new ContinuedFraction() {...},0,27,0,0,0,3,0,3,0,3
Commons Math,org.apache.commons.math.special,Beta.new ContinuedFraction() {...},0,87,0,2,0,8,0,4,0,3
Commons Math,org.apache.commons.math.special,Gamma,17,420,6,46,5,53,7,28,1,8
Commons Math,org.apache.commons.math.stat.inference,TestUtils,45,159,0,0,17,33,12,30,12,30
Commons Math,org.apache.commons.math.stat.inference,OneWayAnovaImpl.AnovaStats,0,12,0,0,0,5,0,1,0,1
Commons Math,org.apache.commons.math.stat.inference,ChiSquareTestImpl,63,802,8,74,8,135,8,50,0,17
Commons Math,org.apache.commons.math.stat.inference,TTestImpl,23,606,1,27,5,99,2,45,1,32
Commons Math,org.apache.commons.math.stat.inference,OneWayAnovaImpl,20,216,2,14,2,46,2,11,0,5
Commons Math,org.apache.commons.math.estimation,GaussNewtonEstimator,17,225,1,17,8,39,4,10,3,2
