Sr.No,Class Name,Line Coverage,Branch Coverage,Branch Missed,Branch Missed+Covered,BranchCoveragePercentageDecimal,BranchCoveragePercentage
102,AbsoluteNameLocationStrategy,6,6,0,6,1,100
25,AbstractConfiguration,346,111,17,128,0.8671875,86.71875
22,AbstractHierarchicalConfiguration,137,51,1,52,0.9807692,98.07692
151,AbstractImmutableNodeHandler,24,14,0,14,1,100
57,AbstractListDelimiterHandler,27,21,1,22,0.95454544,95.454544
13,AbstractYAMLBasedConfiguration,48,18,2,20,0.9,90
171,AppletConfiguration,0,0,4,4,0,0
81,AutoSaveListener,22,12,0,12,1,100
26,BaseConfiguration,35,8,0,8,1,100
79,BaseConfigurationBuilderProvider,61,18,0,18,1,100
36,BaseConfigurationXMLReader,13,0,0,0,0,0
46,BaseEventSource,58,20,0,20,1,100
39,BaseHierarchicalConfiguration,138,31,1,32,0.96875,96.875
105,BasePathLocationStrategy,8,4,0,4,1,100
170,BaseWebConfiguration,10,8,0,8,1,100
91,BasicBuilderParameters,109,46,0,46,1,100
93,BasicConfigurationBuilder,135,39,1,40,0.975,97.5
6,BeanHelper,106,39,11,50,0.78,78
96,BuilderConfigurationWrapperFactory,21,6,0,6,1,100
127,CatalogResolver,43,8,6,14,0.5714286,57.14286
116,ClasspathLocationStrategy,3,2,0,2,1,100
5,CombinedBeanDeclaration,41,26,0,26,1,100
74,CombinedBuilderParametersImpl,68,20,0,20,1,100
27,CombinedConfiguration,201,67,3,70,0.95714283,95.71428
69,CombinedConfigurationBuilder,252,71,11,82,0.86585367,86.585365
77,CombinedConfigurationBuilderProvider,19,2,0,2,1,100
107,CombinedLocationStrategy,15,8,0,8,1,100
128,CombinedReloadingController,17,6,0,6,1,100
42,CompositeConfiguration,158,72,6,78,0.9230769,92.30769
66,ConfigurationAttributePointer,22,3,1,4,0.75,75
85,ConfigurationBuilderEvent,6,0,0,0,0,0
88,ConfigurationBuilderResultCreatedEvent,7,2,0,2,1,100
15,ConfigurationConverter,24,6,0,6,1,100
68,ConfigurationDeclaration,23,14,0,14,1,100
7,ConfigurationDynaBean,62,36,10,46,0.7826087,78.26087
1,ConfigurationDynaClass,42,26,4,30,0.8666667,86.666664
47,ConfigurationErrorEvent,13,0,0,0,0,0
50,ConfigurationEvent,17,0,0,0,0,0
163,ConfigurationInterpolator,82,42,0,42,1,100
112,ConfigurationLogger,31,4,0,4,1,100
9,ConfigurationLookup,7,2,0,2,1,100
24,ConfigurationMap,10,0,0,0,0,0
61,ConfigurationNodeIteratorAttribute,24,12,0,12,1,100
65,ConfigurationNodeIteratorBase,24,14,2,16,0.875,87.5
62,ConfigurationNodeIteratorChildren,50,30,0,30,1,100
64,ConfigurationNodePointer,35,11,1,12,0.9166667,91.66667
59,ConfigurationNodePointerFactory,8,2,2,4,0.5,50
150,ConfigurationNodeVisitorAdapter,3,0,0,0,0,0
175,ConfigurationPropertiesFactoryBean,30,19,1,20,0.95,95
176,ConfigurationPropertySource,3,0,2,2,0,0
101,Configurations,42,2,0,2,1,100
14,ConfigurationUtils,95,33,1,34,0.9705882,97.05882
40,ConfigurationXMLReader,41,13,1,14,0.9285714,92.85714
161,ConstantLookup,32,7,1,8,0.875,87.5
4,ConstructorArg,27,13,1,14,0.9285714,92.85714
84,CopyObjectDefaultHandler,13,2,0,2,1,100
97,DatabaseBuilderParametersImpl,15,0,0,0,0,0
35,DatabaseConfiguration,62,18,0,18,1,100
28,DataConfiguration,127,10,2,12,0.8333333,83.33333
2,DefaultBeanFactory,66,27,3,30,0.9,90
137,DefaultConfigurationKey,119,83,5,88,0.9431818,94.318184
52,DefaultConversionHandler,67,46,0,46,1,100
126,DefaultEntityResolver,8,3,3,6,0.5,50
143,DefaultExpressionEngine,73,43,1,44,0.97727275,97.72727
155,DefaultExpressionEngineSymbols,45,4,0,4,1,100
106,DefaultFileSystem,54,30,8,38,0.7894737,78.94737
54,DefaultListDelimiterHandler,44,26,0,26,1,100
166,DefaultLookups,33,0,0,0,0,0
98,DefaultParametersManager,25,12,0,12,1,100
87,DefaultReloadingDetectorFactory,6,2,0,2,1,100
53,DisabledListDelimiterHandler,7,0,0,0,0,0
168,DummyLookup,3,0,0,0,0,0
8,DynamicCombinedConfiguration,124,27,25,52,0.5192308,51.923077
165,EnvironmentLookup,0,0,0,0,0,0
51,Event,16,2,0,2,1,100
49,EventListenerList,45,21,1,22,0.95454544,95.454544
99,EventListenerParameters,9,0,0,0,0,0
45,EventListenerRegistrationData,16,11,1,12,0.9166667,91.66667
48,EventType,20,6,0,6,1,100
160,ExprLookup,33,7,3,10,0.7,70
86,FileBasedBuilderParametersImpl,65,18,0,18,1,100
80,FileBasedConfigurationBuilder,84,39,1,40,0.975,97.5
67,FileExtensionConfigurationBuilderProvider,22,13,1,14,0.9285714,92.85714
114,FileHandler,285,74,4,78,0.94871795,94.871796
132,FileHandlerReloadingDetector,39,20,0,20,1,100
111,FileLocator,37,6,0,6,1,100
103,FileLocatorUtils,112,69,5,74,0.9324324,93.24324
108,FileSystem,7,2,0,2,1,100
104,FileSystemLocationStrategy,3,0,0,0,0,0
113,FileUtils,24,14,4,18,0.7777778,77.77778
44,FindNodeVisitor,10,2,0,2,1,100
82,HierarchicalBuilderParametersImpl,6,0,0,0,0,0
38,HierarchicalConfigurationConverter,45,16,2,18,0.8888889,88.88889
18,HierarchicalConfigurationXMLReader,13,0,0,0,0,0
110,HomeDirectoryLocationStrategy,24,10,0,10,1,100
10,ImmutableConfigurationInvocationHandler,11,4,0,4,1,100
140,ImmutableNode,66,26,0,26,1,100
94,INIBuilderParametersImpl,3,0,0,0,0,0
12,INIConfiguration,201,126,6,132,0.95454544,95.454544
148,InMemoryNodeModel,266,88,6,94,0.9361702,93.61702
167,InterpolatorSpecification,14,0,0,0,0,0
90,JndiBuilderParametersImpl,5,0,0,0,0,0
43,JNDIConfiguration,105,34,4,38,0.8947368,89.47369
30,JSONConfiguration,14,0,0,0,0,0
58,LegacyListDelimiterHandler,66,33,5,38,0.8684211,86.84211
56,ListDelimiterHandler,1,0,0,0,0,0
130,ManagedReloadingDetector,8,0,0,0,0,0
37,MapConfiguration,38,10,0,10,1,100
154,MergeCombiner,47,27,1,28,0.96428573,96.42857
138,ModelTransaction,135,41,3,44,0.9318182,93.181816
70,MultiFileBuilderParametersImpl,23,4,0,4,1,100
75,MultiFileConfigurationBuilder,105,30,2,32,0.9375,93.75
76,MultiFileConfigurationBuilderProvider,15,3,1,4,0.75,75
78,MultiWrapDynaBean,33,10,0,10,1,100
71,MultiWrapDynaClass,16,4,0,4,1,100
152,NodeAddData,13,2,0,2,1,100
146,NodeCombiner,10,0,0,0,0,0
156,NodeHandlerDecorator,16,0,0,0,0,0
139,NodeNameMatchers,3,0,0,0,0,0
142,NodeSelector,36,14,0,14,1,100
144,NodeTracker,79,26,2,28,0.9285714,92.85714
159,NodeTreeWalker,33,22,0,22,1,100
135,NodeUpdateData,15,4,0,4,1,100
141,OverrideCombiner,29,19,1,20,0.95,95
100,Parameters,27,2,0,2,1,100
121,ParseException,32,10,22,32,0.3125,31.25
23,PatternSubtreeConfigurationWrapper,17,5,11,16,0.3125,31.25
129,PeriodicReloadingTrigger,34,12,0,12,1,100
33,PrefixedKeysIterator,19,13,3,16,0.8125,81.25
83,PropertiesBuilderParametersImpl,10,0,0,0,0,0
29,PropertiesConfiguration,134,59,9,68,0.86764705,86.7647
19,PropertiesConfigurationLayout,172,80,4,84,0.95238096,95.2381
55,PropertyConverter,211,148,28,176,0.84090906,84.090904
125,PropertyListConfiguration,120,63,21,84,0.75,75
124,PropertyListParser,212,110,92,202,0.5445545,54.45545
122,PropertyListParserTokenManager,257,145,153,298,0.48657718,48.65772
115,ProvidedURLLocationStrategy,2,0,0,0,0,0
145,QueryResult,27,8,0,8,1,100
117,ReadWriteSynchronizer,14,2,0,2,1,100
149,ReferenceTracker,35,16,4,20,0.8,80
89,ReloadingBuilderSupportListener,14,2,0,2,1,100
72,ReloadingCombinedConfigurationBuilder,32,6,0,6,1,100
133,ReloadingController,27,10,0,10,1,100
134,ReloadingEvent,6,0,0,0,0,0
92,ReloadingFileBasedConfigurationBuilder,27,2,0,2,1,100
73,ReloadingMultiFileConfigurationBuilder,13,0,0,0,0,0
169,ServletConfiguration,8,0,0,0,0,0
172,ServletContextConfiguration,9,0,0,0,0,0
173,ServletFilterConfiguration,6,0,0,0,0,0
174,ServletRequestConfiguration,16,8,2,10,0.8,80
123,SimpleCharStream,70,20,40,60,0.33333334,33.333336
11,StrictConfigurationComparator,19,16,0,16,1,100
162,StringLookupAdapter,4,0,0,0,0,0
31,SubnodeConfiguration,26,6,0,6,1,100
21,SubsetConfiguration,48,20,4,24,0.8333333,83.33333
34,SystemConfiguration,21,5,1,6,0.8333333,83.33333
164,SystemPropertiesLookup,0,0,0,0,0,0
120,Token,7,0,0,0,0,0
118,TokenMgrError,0,0,18,18,0,0
147,TrackedNodeHandler,7,0,0,0,0,0
136,TrackedNodeModel,36,7,1,8,0.875,87.5
153,TreeData,35,10,0,10,1,100
157,TreeUtils,22,11,1,12,0.9166667,91.66667
158,UnionCombiner,25,16,0,16,1,100
131,VFSFileHandlerReloadingDetector,27,8,0,8,1,100
109,VFSFileSystem,29,13,59,72,0.18055555,18.055555
3,XMLBeanDeclaration,74,28,8,36,0.7777778,77.77778
95,XMLBuilderParametersImpl,17,0,0,0,0,0
41,XMLConfiguration,237,103,1,104,0.99038464,99.03847
16,XMLDocumentHelper,58,4,0,4,1,100
17,XMLListReference,38,19,1,20,0.95,95
20,XMLPropertiesConfiguration,81,20,14,34,0.5882353,58.823532
119,XMLPropertyListConfiguration,100,46,14,60,0.76666665,76.666664
60,XPathContextFactory,6,0,0,0,0,0
63,XPathExpressionEngine,114,57,1,58,0.98275864,98.27586
32,YAMLConfiguration,16,0,0,0,0,0
