Sr.No,Class Name,Line Coverage,Branch Coverage,Branch Missed,Branch Missed+Covered,BranchCoveragePercentageDecimal,BranchCoveragePercentage
15,AbstractBackToLinkedRuleBuilder,13,3,1,4,0.75,75
35,AbstractMethodHandler,33,22,12,34,0.64705884,64.70589
60,AbstractMethodRule,33,8,4,12,0.6666667,66.66667
28,AbstractNamespaceURIBasedRulesModule,0,0,0,0,0,0
76,AbstractObjectCreationFactory,4,0,0,0,0,0
4,AbstractParamTypeBuilder,22,4,2,6,0.6666667,66.66667
63,AbstractRulesImpl,13,4,0,4,1,100
24,AbstractRulesModule,9,1,1,2,0.5,50
96,AbstractXmlMethodRule,8,0,0,0,0,0
114,AbstractXmlRule,6,0,0,0,0,0
10,AddAliasBuilder,8,1,1,2,0.5,50
83,AnnotationUtils,15,6,6,12,0.5,50
3,BeanPropertySetterBuilder,10,1,1,2,0.5,50
67,BeanPropertySetterRule,27,9,5,14,0.64285713,64.28571
103,BeanPropertySetterRule,8,2,0,2,1,100
22,BinderClassLoader,21,3,1,4,0.75,75
5,ByRuleBuilder,4,0,0,0,0,0
26,ByRuleProviderBuilder,4,0,0,0,0,0
2,CallMethodBuilder,34,14,2,16,0.875,87.5
30,CallMethodHandler,8,1,1,2,0.5,50
77,CallMethodRule,75,35,25,60,0.5833333,58.333332
93,CallMethodRule,22,10,2,12,0.8333333,83.33333
17,CallParamBuilder,17,3,1,4,0.75,75
36,CallParamHandler,9,3,1,4,0.75,75
66,CallParamRule,36,16,2,18,0.8888889,88.88889
99,CallParamRule,14,6,2,8,0.75,75
43,CompoundSubstitutor,10,4,0,4,1,100
88,Declaration,36,10,10,20,0.5,50
40,DefaultAnnotationHandlerFactory,2,0,0,0,0,0
21,DefaultRulesBinder,41,13,5,18,0.7222222,72.22222
62,Digester,435,140,88,228,0.61403507,61.403507
23,DigesterLoader,80,18,10,28,0.64285713,64.28571
14,ErrorMessage,8,0,0,0,0,0
82,ExtendedBaseRules,110,84,4,88,0.95454544,95.454544
16,FactoryCreateBuilder,19,5,11,16,0.3125,31.25
31,FactoryCreateHandler,9,2,2,4,0.5,50
56,FactoryCreateRule,53,23,19,42,0.54761904,54.761906
110,FactoryCreateRule,7,0,0,0,0,0
53,FinderFromClass,19,6,2,8,0.75,75
54,FinderFromDfltClass,14,1,1,2,0.5,50
47,FinderFromDfltMethod,9,2,0,2,1,100
46,FinderFromDfltResource,10,2,0,2,1,100
49,FinderFromFile,15,2,0,2,1,100
50,FinderFromMethod,9,2,0,2,1,100
52,FinderFromResource,15,3,1,4,0.75,75
45,FinderSetProperties,9,1,3,4,0.25,25
39,FromAnnotationsRuleModule,61,27,9,36,0.75,75
20,FromBinderRuleSet,27,11,1,12,0.9166667,91.66667
111,FromXmlRulesModule,46,11,11,22,0.5,50
109,IncludeRule,26,12,6,18,0.6666667,66.66667
9,LinkedRuleBuilder,41,19,13,32,0.59375,59.375
48,LoaderFromClass,20,2,2,4,0.5,50
55,LoaderFromStream,20,4,4,8,0.5,50
51,LoaderSetProperties,6,1,1,2,0.5,50
90,LogUtils,3,2,0,2,1,100
37,MethodArgument,13,2,10,12,0.16666667,16.666668
42,MultiVariableExpander,29,8,2,10,0.8,80
104,NameSpaceURIRulesBinder,12,0,0,0,0,0
18,NestedPropertiesBuilder,13,1,3,4,0.25,25
65,NodeCreateRule,28,11,1,12,0.9166667,91.66667
102,NodeCreateRule,2,0,8,8,0,0
27,NodeCreateRuleProvider,8,2,2,4,0.5,50
13,ObjectCreateBuilder,28,11,5,16,0.6875,68.75
34,ObjectCreateHandler,16,6,2,8,0.75,75
57,ObjectCreateRule,56,26,10,36,0.7222222,72.22222
92,ObjectCreateRule,22,10,2,12,0.8333333,83.33333
29,ObjectParamBuilder,10,1,1,2,0.5,50
69,ObjectParamRule,16,4,0,4,1,100
94,ObjectParamRule,13,2,2,4,0.5,50
8,PathCallParamBuilder,0,0,2,2,0,0
70,PathCallParamRule,9,1,1,2,0.5,50
100,PatternRule,14,4,0,4,1,100
72,PatternRuleMatcher,0,0,22,22,0,0
97,PatternStack,9,6,0,6,1,100
87,PluginContext,29,2,0,2,1,100
91,PluginCreateRule,121,49,25,74,0.6621622,66.21622
11,PluginCreateRuleBuilder,0,0,20,20,0,0
84,PluginDeclarationRule,24,6,4,10,0.6,60.000004
6,PluginDeclarationRuleBuilder,0,0,0,0,0,0
85,PluginException,0,0,0,0,0,0
89,PluginManager,38,14,4,18,0.7777778,77.77778
86,PluginRules,55,16,10,26,0.61538464,61.538464
107,PrefixedRulesBinder,7,2,2,4,0.5,50
71,RecordedInvocation,6,0,12,12,0,0
64,RegexRules,22,7,1,8,0.875,87.5
79,Rule,13,0,0,0,0,0
78,RulesBase,46,36,0,36,1,100
81,RuleSetBase,4,0,0,0,0,0
112,SetNamespaceURIRule,7,0,0,0,0,0
73,SetNestedPropertiesRule,27,3,5,8,0.375,37.5
101,SetNestedPropertiesRule,2,0,0,0,0,0
1,SetNextBuilder,8,2,0,2,1,100
80,SetNextRule,6,0,0,0,0,0
108,SetNextRule,8,3,1,4,0.75,75
7,SetPropertiesBuilder,11,1,3,4,0.25,25
32,SetPropertiesHandler,9,4,2,6,0.6666667,66.66667
61,SetPropertiesRule,39,22,6,28,0.78571427,78.57143
105,SetPropertiesRule,8,0,0,0,0,0
25,SetPropertyBuilder,7,2,2,4,0.5,50
68,SetPropertyRule,26,12,6,18,0.6666667,66.66667
106,SetPropertyRule,2,0,0,0,0,0
12,SetRootBuilder,7,1,1,2,0.5,50
74,SetRootRule,4,0,0,0,0,0
95,SetRootRule,2,0,4,4,0,0
19,SetTopBuilder,7,1,1,2,0.5,50
33,SetTopHandler,9,2,2,4,0.5,50
75,SetTopRule,8,0,0,0,0,0
115,SetTopRule,2,0,4,4,0,0
58,SimpleRegexMatcher,30,22,7,29,0.7586207,75.86207
44,VariableAttributes,22,6,6,12,0.5,50
41,VariableSubstitutor,16,2,2,4,0.5,50
59,WithDefaultsRulesWrapper,23,6,6,12,0.5,50
38,WithMemoryRulesBinder,11,0,0,0,0,0
98,WithMemoryRulesBinder,8,0,0,0,0,0
113,XmlRulesModule,41,5,1,6,0.8333333,83.33333
